epoch,loss,val_loss
9,2661.003418,445.2683105
0,2575.496094,607.7092285
1,2571.554199,604.1435547
2,2566.547852,600.3099976
3,2560.746826,596.4785767
4,2554.398682,592.8865356
5,2547.712402,589.7265015
6,2540.860352,587.1420288
7,2533.97583,585.2288208
8,2527.172119,584.0363159
9,2520.525635,583.5668335
0,3013.465576,617.6092529
1,3005.57373,618.3873291
2,2997.104248,619.6312256
3,2988.231934,621.2568359
4,2979.108643,623.1695557
5,2969.860107,625.2775879
6,2960.589355,627.4915771
7,2951.365723,629.734436
8,2942.253174,631.9400024
9,2933.284668,634.0563354
0,2515.736816,523.7775879
1,2517.5979,525.1137085
2,2517.972412,525.3334351
3,2516.937256,524.6443481
4,2514.638184,523.3121948
5,2511.256104,521.6253662
6,2506.997803,519.8648682
7,2502.077881,518.2906494
8,2496.696289,517.1193237
9,2491.042969,516.506958
0,2470.367432,674.385498
1,2458.409424,677.3729858
2,2444.779053,682.1966553
3,2430.178467,689.3408203
4,2415.238281,699.1240234
5,2400.490234,711.6680908
6,2386.349609,726.9180298
7,2373.116943,744.6535645
8,2360.99292,764.519104
9,2350.073975,786.0062256
0,2470.801025,747.3602295
1,2477.789795,759.069519
2,2481.332031,766.6279297
3,2481.387451,770.0897827
4,2478.119873,769.7195435
5,2471.867676,765.9176025
6,2463.078125,759.178833
7,2452.26123,750.0498047
8,2439.956543,739.09021
9,2426.71167,726.8646851
0,2652.098877,597.2055664
1,2655.675537,585.2281494
2,2655.337158,574.1686401
3,2651.255859,564.05896
4,2643.768311,554.9031372
5,2633.339355,546.6809082
6,2620.503906,539.3514404
7,2605.844727,532.8633423
8,2589.937256,527.1669312
9,2573.354248,522.2059937
0,3111.42627,442.852478
1,3100.396973,437.5888062
2,3089.749756,432.8789978
3,3079.580322,428.7133179
4,3069.936768,425.0733032
5,3060.841064,421.9300232
6,3052.310303,419.2550354
7,3044.333008,417.015686
8,3036.883301,415.1768188
9,3029.925049,413.7034607
0,2455.508301,673.7978516
1,2453.946533,673.6968384
2,2452.125977,673.5169678
3,2450.068115,673.2484131
4,2447.792725,672.8788452
5,2445.320801,672.4033203
6,2442.674316,671.8223877
7,2439.878418,671.1387329
8,2436.950684,670.3624268
9,2433.913818,669.5012817
0,2765.010498,426.3003845
1,2765.559082,425.3699646
2,2764.312744,423.8253479
3,2761.45752,421.7389526
4,2757.202393,419.1995239
5,2751.766113,416.3021851
6,2745.368164,413.1444397
7,2738.220947,409.8203125
8,2730.522217,406.4163208
9,2722.450684,403.0110168
0,2938.73877,580.7926025
1,2941.960693,580.2994995
2,2940.829102,581.9287109
3,2935.815918,585.619751
4,2927.575684,591.3986816
5,2916.871582,599.3139038
6,2904.458252,609.3914795
7,2891.063965,621.5622559
8,2877.335938,635.6499634
9,2863.795898,651.383606
0,2548.782227,438.1400757
1,2550.609863,446.6784058
2,2551.276123,452.8429565
3,2550.58374,456.499176
4,2548.461182,457.6683655
5,2544.93335,456.5046387
6,2540.122559,453.2504272
7,2534.216064,448.2234497
8,2527.4646,441.7743225
9,2520.130615,434.2709045
0,2848.066406,583.6978149
1,2845.435791,576.2111206
2,2840.506836,567.8364868
3,2833.606934,558.9453735
4,2825.176025,549.9244385
5,2815.746582,541.1539307
6,2805.796631,532.8651733
7,2795.133789,525.1824951
8,2783.836914,518.185791
9,2772.102539,511.9281311
0,2151.615723,594.4411621
1,2149.570313,587.3812256
2,2147.297363,581.4790649
3,2144.838135,576.6471558
